campus_name,campus_location,students,community_type,campus_type,research,community,liberal_arts,religious,rating
"University of Maryland, College Park","College Park, MD",37952,large urban city,public,yes,no,no,no,5
University of Michigan-Dearborn,"Dearborn, MI",9000,medium city,public,yes,no,no,no,3
SUNY Westchester Community College,"Valhalla, NY",13000,very small town,public,no,yes,no,no,4
University at Buffalo,"Buffalo, NY",29850,medium city,public,yes,no,no,no,3.5
Slippery Rock University,"Slippery Rock, PA",8500,rural community,public,yes,no,yes,no,4
Emory University,"Atlanta, GA",14769,large urban city,private,yes,no,yes,yes,4.5
Washington State University,"Pullman, WA",19446,small town,public,yes,no,no,no,5
Davidson College,"Davidson, NC",1850,small town,private,no,no,yes,no,4
Virginia Commonwealth University,"Richmond, VA",31500,medium city,public,yes,no,no,no,4.5
Northern Arizona University,"Flagstaff, AZ",29000,small city,public,yes,no,no,no,4.5
"California State University, Long Beach or Long Beach State","Long Beach, CA",36846,medium city,public,yes,no,no,no,4.5
University of La Verne,"La Verne, CA",8600,small city,private,yes,no,no,no,2.5
"Rutgers, The State University of New Jersey-New Brunswick","New Brunswick, NJ",48000,large urban city,public,yes,no,no,no,5
Gettysburg College,"Gettysburg, PA",2400,very small town,private,no,no,yes,no,4.5
Northern Illinois University,"DeKalb, IL",16234,small city,public,yes,no,no,no,5
Trinity College,"Hartford, CT",2159,medium city,private,no,no,yes,no,5
Augsburg University,"Minneapolis, MN",3537,large urban city,private,yes,no,yes,yes,5
Ithaca College,"Ithaca, NY",6000,small city,private,no,no,yes,no,5
Portland State University,"Portland, OR",25000,large urban city,public,yes,no,no,no,5
Northwestern University,"Evanston, IL",21215,small city,private,yes,no,no,no,4
University of Colorado at Boulder,"Boulder, CO",30000,small city,public,yes,no,no,no,5
Northeastern Illinois University,"Chicago, IL",10275,large urban city,public,no,no,no,no,2.5
Elon University,"Elon, NC",6500,small town,private,no,no,yes,no,5
Bridgewater State University,"Bridgewater, MA",10000,small city,public,no,no,yes,no,4.5
New Mexico State University,"Las Cruces, NM",16765,medium city,public,yes,no,no,no,4.5
University of Richmond,"Richmond, VA",3890,medium city,private,no,no,yes,no,4.5
Tufts University,"Medford, MA",11926,small city,private,yes,no,no,no,5
University of Nebraska at Omaha,"Omaha, NE",15500,large urban city,public,yes,no,no,no,4.5
Youngstown State University,"youngstown, OH",11171,medium city,public,no,no,no,no,3
"University of Massachusetts, Amherst","Amherst, MA",28500,small town,NA,yes,no,no,no,5
West Virginia University,"Morgantown, WV",34000,small city,public,yes,no,no,no,4.5
Virginia State University,"Virginia State University, VA",3400,small town,public,yes,no,no,no,4
Kansas State University,"Manhattan, KS",20000,small city,public,yes,no,no,no,5
Bentley University,"Waltham, MA",4100,small city,private,yes,no,no,no,4.5
Knox College,"Galesburg, IL",1300,small city,private,no,no,yes,no,4
Oakland University,"Rochester, MI",17170,small city,public,yes,no,no,no,5
Union College,"Schenectady, NY",2150,small city,private,no,no,yes,no,5
Montana State University-Bozeman,"Bozeman, MT",16902,small city,public,yes,no,no,no,4
Syracuse University,"Syracuse, NY",14422,medium city,private,yes,no,no,no,4
"California State University, Northridge","Northridge, CA",36000,large urban city,public,yes,no,no,no,4.5
SUNY Oneonta,"Oneonta, NY, NY",5514,small town,public,no,no,no,no,4
Montclair State University,"Montclair, NJ",21000,small city,public,yes,no,yes,no,5
University of New Haven,"West Haven, CT",6500,small city,private,no,no,no,no,4
University of Wisconsin,"Madison, WI",43193,medium city,public,yes,no,no,no,4.5
Lehigh University,"Bethlehem, PA",6950,small city,private,yes,no,no,no,5
George Mason University,"Fairfax, VA",39150,small city,public,yes,no,no,no,5
University of Houston,"Houston, TX",40000,large urban city,public,yes,no,no,no,4.5
William & Mary,"Williamsburg, VA",8500,small town,public,yes,no,yes,no,4.5
College of Staten Island/CUNY,"Staten Island, NY",10185,large urban city,public,yes,no,yes,no,3.5
Virginia Tech,"Blacksburg, VA",31000,small city,public,yes,no,no,no,4
Washington University in St. Louis,"St. Louis, MO",14000,medium city,private,yes,no,no,no,5
Eastern Michigan University,"Ypsilanti, MI",10500,small city,public,yes,no,no,no,4.5
University of Vermont,"Burlington, VT",11000,small city,public,yes,no,no,no,5
MIT,"Cambridge, MA",11000,medium city,private,yes,no,no,no,4.5
"University of Minnesota, Morris","Morris, MN",1900,very small town,public,no,no,yes,no,4
Kalamazoo College,"Kalamazoo, MI",1458,medium city,private,no,no,yes,no,4
Pace University,"New York, NY",12835,large urban city,private,yes,no,yes,no,5
"University of Maryland, Baltimore County","Baltimore, MD",14000,large urban city,public,yes,no,yes,no,3
The University of Alabama,"Tuscaloosa, AL",38000,small city,public,yes,no,no,no,4.5
Michigan State University,"East Lansing, MI",50000,small city,public,yes,no,no,no,4
The Evergreen State College,"Olympia, WA",2100,small city,public,no,no,yes,no,3.5
Napa Valley College,"Napa, CA",5000,small city,NA,no,yes,no,no,4
University of Tennessee,"KNoxville, TN",26000,medium city,public,yes,no,no,no,4
University of Missouri-Kansas City,"Kansas City, MO",16375,large urban city,public,yes,no,no,no,4.5
Clark University,"Worcester, MA",2300,medium city,private,yes,no,yes,no,4.5
Roger Williams University,"Bristol, RI",4000,small town,private,no,no,yes,no,4
University of Colorado at Colorado Springs,"Colorado Springs, CO",12017,medium city,public,yes,no,no,no,4.5
The Pennsylvania State University,"University Park, PA",46184,small town,NA,yes,no,no,no,5
Emporia State University,"Emporia, KS",6100,small city,public,yes,no,no,no,4
"Indiana University, Bloomington","Bloomington, IN",49695,small city,public,yes,no,no,no,5
Lawrence University,"Appleton, WI",1500,small city,private,no,no,yes,no,4
Macalester College,"Saint Paul, MN",2094,large urban city,private,no,no,yes,no,5
University of Missouri - St. Louis,"Saint Louis, MO",8381,large urban city,public,yes,no,no,no,4
San Diego State University,"San Diego, CA",32000,large urban city,public,yes,no,no,no,5
Appalachian State University,"Boone, NC",20436,small town,public,no,no,no,no,4.5
University of Wisconsin - Superior,"Superior, WI",2500,small city,public,no,no,no,no,3.5
Centre College,"Danville, KY",1450,small town,private,no,no,yes,no,3
University of Wisconsin - Eau Claire,"Eau Claire, WI",11000,small city,public,yes,no,yes,no,5
Rhodes College,"Memphis, TN",2000,large urban city,private,no,no,yes,yes,4.5
"California State University, Chico","Chico, CA",16251,medium city,public,no,no,no,no,4
Hofstra University,"Hempstead, NY",9533,medium city,NA,yes,no,no,no,5
University of Rochester,"Rochester, NY",10182,medium city,private,yes,no,no,no,5
"University California, Irvine","Irvine, CA",29000,medium city,NA,yes,no,no,no,3.5
Washington College,"Chestertown, MD",1420,very small town,NA,no,no,yes,no,3.5
Illinois State University,"Normal, IL",20000,small city,public,yes,no,no,no,4
University of Miami,"Coral Gables, FL",16397,large urban city,private,yes,no,no,no,4
University of Kentucky,"Lexington, KY",30000,medium city,public,yes,no,no,no,5
University of Wisconsin - Oshkosh,"Oshkosh, WI",14000,small city,public,no,no,no,no,4.5
Oregon State University,"Corvallis, OR",28000,small city,public,yes,no,no,no,4
North Dakota State University,"Fargo, ND",14500,medium city,public,yes,no,no,no,3.5
University at Albany - SUNY,"Albany, NY",18000,medium city,public,yes,no,no,no,5
Michigan Technological University,"Houghton, MI",7238,rural community,public,yes,no,no,no,3.5
Colby College,"Waterville, ME",2299,small town,NA,no,no,yes,no,3.5
